iso3,country,region,gdp_usd_bn,gdp_usd_tn,population_year,population,gdp_per_capita
YEM,Yemen,Asia,7.435,0.007435,2024,40583164,183.20404983702107
FJI,Fiji,Oceania,6.351999999999999,0.006351999999999999,2024,928784,6839.0497682991945
SSD,South Sudan,Africa,6.069,0.006069,2024,11943408,508.1464185096917
SUR,Suriname,Americas,5.908,0.005908,2024,634431,9312.28139860757
SWZ,Eswatini,Africa,5.792,0.005791999999999999,2024,1242822,4660.3616608009825
LBR,Liberia,Africa,5.6419999999999995,0.0056419999999999994,2024,5612817,1005.1993499877154
AND,Andorra,Europe,4.879,0.004879,2024,81938,59545.021845785835
DJI,Djibouti,Africa,4.724999999999999,0.004724999999999999,2024,1168722,4042.8776047682845
ABW,Aruba,Americas,4.671,0.004671000000000001,2024,107995,43252.00240751888
BTN,Bhutan,Asia,3.8559999999999994,0.0038559999999999996,2024,791524,4871.614758364875
CAF,Central African Republic,Africa,3.4919999999999995,0.0034919999999999994,2024,5330690,655.0746713840047
BLZ,Belize,Americas,3.4499999999999997,0.00345,2024,417072,8271.95304407872
CPV,Cape Verde,Africa,3.448,0.003448,2024,524877,6569.158107518523
GNB,Guinea-Bissau,Africa,2.985,0.002985,2024,2201352,1355.9848674814386
LSO,Lesotho,Africa,2.9719999999999995,0.0029719999999999994,2024,2337423,1271.4857345033395
GMB,Gambia,Africa,2.792,0.0027919999999999998,2024,2759988,1011.5986011533383
LCA,St. Lucia,Americas,2.765,0.002765,2024,179744,15382.98914011038
SMR,San Marino,Europe,2.4169999999999994,0.0024169999999999994,2024,33977,71136.35694734672
ATG,Antigua & Barbuda,Americas,2.385,0.002385,2024,93772,25434.03148061255
SYC,Seychelles,Africa,2.251,0.002251,2024,121354,18549.038350610612
TLS,Timor-Leste,Asia,2.17,0.00217,2024,1400638,1549.2939646075574
SLB,Solomon Islands,Oceania,1.836,0.0018360000000000002,2024,819198,2241.2164092197495
COM,Comoros,Africa,1.814,0.001814,2024,866628,2093.1703106753994
GRD,Grenada,Americas,1.4829999999999999,0.001483,2024,117207,12652.827902770312
VUT,Vanuatu,Oceania,1.3959999999999997,0.0013959999999999997,2024,327777,4258.993156932914
WSM,Samoa,Oceania,1.3759999999999997,0.0013759999999999996,2024,218019,6311.376531403224
VCT,St. Vincent & Grenadines,Americas,1.236,0.001236,2024,100616,12284.328536216904
STP,São Tomé & Príncipe,Africa,1.161,0.0011610000000000001,2024,235536,4929.182800081518
KNA,St. Kitts & Nevis,Americas,1.143,0.001143,2024,46843,24400.657515530602
DMA,Dominica,Americas,0.7909999999999999,7.909999999999999e-4,2024,66205,11947.73808624726
TON,Tonga,Oceania,0.716,7.16e-4,2024,104175,6873.050155987521
FSM,Micronesia (Federated States of),Oceania,0.521,5.21e-4,2024,113160,4604.100388829976
KIR,Kiribati,Oceania,0.401,4.0100000000000004e-4,2024,134518,2981.0136933347217
PLW,Palau,Oceania,0.377,3.77e-4,2024,17695,21305.453517942922
MHL,Marshall Islands,Oceania,0.342,3.42e-4,2024,37548,9108.341323106424
NRU,Nauru,Oceania,0.196,1.9600000000000002e-4,2024,11947,16405.792249100195
TUV,Tuvalu,Oceania,0.065,6.500000000000001e-5,2024,9646,6738.544474393531
